"Fon Kodu","Fon Adı","Şemsiye Fon Türü","1 Ay (%)","3 Ay (%)","6 Ay (%)","Yılbaşı (%)","1 Yıl (%)","3 Yıl (%)","5 Yıl (%)"
"GBV","GARANTİ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","6,7508","2,9303","8,8884","9,3702","97,8980","457,5850","-"
"RBL","QNB PORTFÖY ROBOTİK VE BLOCKCHAİN TEKNOLOJİLERİ SERBEST FON","Serbest Şemsiye Fonu","3,3226","-2,7442","-1,5988","4,0192","69,9563","-","-"
"BCK","DENİZ PORTFÖY BLOCKCHAİN VE FINTECH TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","2,5262","2,6951","6,8785","7,9582","68,7786","-","-"
"YZC","YAPI KREDİ PORTFÖY FİNTECH VE BLOCKCHAİN TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","6,3036","4,1735","8,4044","8,7922","65,8496","359,3315","-"
"IVY","İSTANBUL PORTFÖY BLOCKCHAIN TEKNOLOJİLERİ DEĞİŞKEN FON","Değişken Şemsiye Fonu","0,8166","-3,0165","-12,7352","1,5472","61,4340","379,5394","-"
"IJP","İŞ PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON","Karma Şemsiye Fonu","4,0712","1,4836","9,4768","6,4744","56,4566","311,9346","-"
